make,model,year,cluster_seed,count
Nissan,Patrol,2025,set,2
Nissan,Patrol,2025,xe,2
Nissan,Patrol,2025,titanium,1
Mercedes-Benz,S 580,2024,amg,2
Land Rover,Defender 110,2023,hse,6
Land Rover,Defender 90,2024,hse,2
Land Rover,Range Rover,2022,first,7
Land Rover,Range Rover,2022,hse,1
Toyota,Crown,2025,premium,1
Lamborghini,Urus,2020,طراز,1
Mercedes-Benz,Vito,2024,vip,3
Lamborghini,Aventador,2016,s,1
Lamborghini,Aventador,2016,roadster,2
Lamborghini,Aventador,2016,sv,2
BMW,740,2024,kit,4
BMW,740,2024,i,1
BMW,X3,2024,sdrive30i,2
BMW,X3,2024,kit,6
BMW,M3,2022,m,2
BMW,M3,2022,pdk,1
Land Rover,Defender 90,2023,carpathian,2
Porsche,Cayenne,2023,موجود,1
Porsche,Cayenne,2023,coupe,2
Porsche,Cayenne,2023,platinum,2
Porsche,Cayenne,2023,ppf,1
Lexus,ES 300,2024,eco,2
Jeep,Wrangler,2024,sport,8
Jeep,Wrangler,2024,unlimited,11
Jeep,Wrangler,2024,rubicon,3
Jeep,Wrangler,2024,final,2
BMW,520,2024,m,1
BMW,520,2024,kit,2
Mercedes-Benz,SLK 200,2009,slk,4
Mercedes-Benz,SLK 200,2009,amg,2
Rover,Other,2021,hse,1
Porsche,Cayenne GTS,2022,gts,3
Toyota,Hilux,2016,glx,2
Jeep,Wrangler,2025,unlimited,13
Jeep,Wrangler,2025,rubicon,7
Jeep,Wrangler,2025,final,5
Land Rover,Range Rover,2023,hse,9
Land Rover,Range Rover,2023,first,4
Toyota,Land Cruiser,2020,gxr,12
Toyota,Land Cruiser,2020,vxr,1
Land Rover,Range Rover,2021,hse,2
Mercedes-Benz,GLA 250,2023,amg,2
Land Rover,Range Rover,2025,hse,8
Land Rover,Range Rover,2025,lwp,2
Land Rover,Range Rover,2025,hud,1
Toyota,Prado,2023,txl,5
Toyota,Prado,2023,full,1
Mercedes-Benz,GLC 200,2025,glc,25
Mercedes-Benz,GLC 200,2025,cop,2
Mercedes-Benz,GLC 200,2025,amg,5
Mercedes-Benz,GLC 200,2025,off,2
BMW,X6,2025,m,2
BMW,X6,2025,kit,3
Mercedes-Benz,E 450,2024,amg,1
Maserati,Ghibli,2022,hybrid,1
Porsche,911 GT3,2019,six,1
Porsche,911 GT3,2019,pdk,1
Toyota,Land Cruiser,2019,gxr,5
Toyota,Land Cruiser,2019,fix,1
Land Rover,Range Rover HSE,2023,hse,7
Toyota,Highlander,2024,gla,3
Toyota,Highlander,2024,gle,6
BMW,740,2023,pro,1
BMW,740,2023,kit,2
BMW,740,2023,m,1
Cadillac,CT5,2023,premium,2
Cadillac,CT5,2023,hud,1
Toyota,Land Cruiser,2025,gxr,46
Toyota,Land Cruiser,2025,vxr,8
Toyota,Land Cruiser,2025,dlx,2
Toyota,Land Cruiser,2025,now,1
Toyota,Land Cruiser,2025,vxs,2
BMW,740,2022,li,1
Dodge,Charger,2017,srt,1
Land Rover,Defender,2020,hse,2
Land Rover,Defender,2020,hsc,3
Lexus,RX 350,2024,eco,1
Lexus,NX350,2025,wma,1
Lexus,NX350,2025,ah,1
Lexus,NX350,2025,aa,1
Lexus,NX350,2025,hybrid,4
Mercedes-Benz,G-Class,2021,amg,2
Toyota,Tundra,2024,trd,4
Toyota,Tundra,2024,pro,2
Mercedes-Benz,S 500,2022,amg,1
Toyota,Veloz,2024,glx,13
Toyota,Veloz,2024,2024white,1
Ford,Explorer,2023,xlt,20
Land Rover,Defender 110,2025,sedona,1
Land Rover,Defender 110,2025,hse,5
Land Rover,Range Rover,2016,hse,2
Land Rover,Range Rover,2016,svr,3
Toyota,Land Cruiser,2023,gxr,18
Toyota,Land Cruiser,2023,vxr,4
Toyota,Land Cruiser,2023,toy,1
Mercedes-Benz,GLS Maybach,2022,gls,2
Land Rover,Range Rover HSE,2024,hse,8
Bentley,Mulsanne,2014,mulliner,1
Bentley,Mulsanne,2013,mulliner,1
Kia,Telluride,2024,gls,7
Kia,Telluride,2024,mid,4
Toyota,Land Cruiser,2016,gxr,3
Toyota,Land Cruiser,2016,vxr,2
Toyota,Land Cruiser,2022,gxr,10
Toyota,Land Cruiser,2022,launch,1
Toyota,Land Cruiser,2022,vxr,2
Land Rover,Range Rover,2020,hse,4
Land Rover,Range Rover,2020,lwb,1
Land Rover,Defender,2021,first,2
Land Rover,Defender,2021,hse,2
Land Rover,Defender,2021,ppf,1
Mercedes-Benz,CLA 250,2024,cla,4
Mercedes-Benz,GLE 53 AMG,2024,amg,3
Mercedes-Benz,GLE 53 AMG,2024,gle,2
GMC,Yukon,2022,slt,1
GMC,Yukon,2022,sle,3
GMC,Yukon,2022,esp,1
GMC,Yukon,2022,trc,1
GMC,Yukon,2022,ebd,1
Ford,Ranger,2024,esp,1
Ford,Ranger,2024,xlt,2
Mitsubishi,Outlander,2024,glx,4
Land Rover,Defender 130,2023,hse,2
Audi,Q8,2020,technik,2
Audi,Q8,2020,pkg,1
Porsche,Cayenne,2020,turpo,2
Porsche,Cayenne,2020,coupe,2
Mercedes-Benz,E 53 AMG,2021,amg,2
Mercedes-Benz,GLS 450,2021,gls,5
Nissan,GT-R,2023,premium,2
BMW,440,2024,hud,1
Mercedes-Benz,E 350,2024,amg,5
Mercedes-Benz,E 350,2024,kit,2
BMW,M5,2025,مكينة,1
BMW,M5,2025,سعر,1
BMW,M5,2025,model,1
Bentley,Bentayga,2022,s,1
Bentley,Bentayga,2022,speed,2
Land Rover,Range Rover Sport,2024,hse,2
Land Rover,Range Rover Sport,2016,hst,2
BMW,735,2024,kit,3
Nissan,Patrol,2023,vtc,4
Nissan,Patrol,2023,gl,1
Land Rover,Range Rover,2018,hse,8
Land Rover,Range Rover,2018,ppf,1
Mercedes-Benz,S 450,2018,amg,1
GMC,Yukon,2021,slt,1
GMC,Yukon,2021,pdf,1
GMC,Yukon,2021,at4,1
GMC,Yukon,2021,gray,1
Mercedes-Benz,200SEL,2020,cla,1
Mercedes-Benz,C 43 AMG,2020,amg,2
Land Rover,Defender,2023,carpathian,2
Land Rover,Defender,2023,ppf,1
Land Rover,Defender,2023,top,1
Land Rover,Defender,2023,bbf,1
Mercedes-Benz,S 500,2015,amg,1
Mercedes-Benz,S 500,2015,gps,1
Lexus,LX 600,2023,mts,1
Lexus,LX 600,2023,vip,4
Lexus,LX 600,2023,lex,1
Lexus,LX 600,2023,ppf,1
Porsche,Cayenne GTS,2021,gts,2
BMW,750,2020,الفءة,1
Mercedes-Benz,A 200,2022,amg,1
Mercedes-Benz,CLA 45 AMG,2022,cla,2
Mercedes-Benz,CLA 45 AMG,2022,amg,2
Land Rover,Defender,2022,vin,1
Land Rover,Defender,2022,hse,3
Toyota,Rav 4,2017,std,1
GMC,Sierra,2023,at4,1
Chevrolet,Tahoe,2019,lt2,2
Chevrolet,Tahoe,2019,ls,1
Chevrolet,Tahoe,2019,wit,1
GMC,Sierra,2025,sle,22
Ford,Expedition,2024,xlt,6
Land Rover,Range Rover HSE,2025,hse,15
Mercedes-Benz,EQS 580 4Matic SUV,2023,eqs,2
Lexus,LS-Series,2018,eco,2
Toyota,Land Cruiser,2014,gxr,4
Mercedes-Benz,CLS 450,2020,cls,2
Toyota,Rav 4,2025,rav,1
Toyota,Rav 4,2025,xle,15
Toyota,Rav 4,2025,drl,1
Toyota,Rav 4,2025,ltd,1
Toyota,Rav 4,2025,mid,1
Lexus,UX,2020,kit,1
Mercedes-Benz,GLA 200,2022,gla,1
Mercedes-Benz,GLA 200,2022,amg,2
Mercedes-Benz,GLA 200,2022,kit,1
